Country,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other
Global,1990,22757.480501,8688.659628,9249.362779,3833.133407,493.854338,267.85899,224.611359
Global,1991,23244.805747,8604.035333,9723.429325,3909.677268,507.750603,282.964847,216.948371
Global,1992,22580.023401,8399.00635,9226.138958,3958.119661,528.94207,250.482285,217.334077
Global,1993,22812.899822,8500.946752,9232.77287,4067.061088,551.511948,244.055629,216.551533
Global,1994,22969.498357,8548.628481,9265.657084,4102.083232,588.46061,248.053732,216.615219
Global,1995,23458.713064,8793.982796,9363.845279,4209.967591,622.442515,244.935059,223.539824
Global,1996,24159.382272,9015.793678,9643.208497,4395.991935,635.312359,247.174959,221.900844
Global,1997,24302.583028,8967.539839,9786.860718,4412.47776,661.232452,250.793765,223.678493
Global,1998,24213.260513,8725.98477,9883.466872,4484.475325,658.611266,240.252432,220.469848
Global,1999,24732.388369,8855.187209,10112.427162,4621.802576,691.010495,232.748259,219.212667
Global,2000,25453.622139,9203.117603,10302.090594,4731.291034,721.927315,278.928472,216.267121
Global,2001,25668.048326,9255.256797,10390.668975,4773.584851,754.331663,281.128017,213.078023
Global,2002,26281.037468,9678.959137,10385.86418,4905.85364,796.052479,298.553835,215.754196
Global,2003,27651.596453,10518.463642,10679.654448,5081.468111,852.252693,299.375515,220.382043
Global,2004,28636.695037,10871.584335,11042.504634,5257.190057,910.566319,323.802545,231.047147
Global,2005,29614.602256,11543.334878,11139.399176,5380.665522,964.306101,345.09423,241.80235
Global,2006,30593.116788,12188.840276,11246.32155,5506.809201,1051.668722,346.860142,252.616896
Global,2007,31506.7892,12776.360246,11283.665343,5694.133805,1129.389392,363.985324,259.25509
Global,2008,32085.836322,13192.796643,11251.325081,5864.291234,1143.738362,374.074157,259.610844
Global,2009,31564.030692,13016.427997,10996.948677,5751.954007,1175.729621,379.401924,243.568467
Global,2010,33364.346496,13926.620921,11359.882721,6195.343757,1254.87809,381.650481,245.970526
Global,2011,34487.011618,14737.125795,11388.085507,6366.902202,1349.799508,370.279857,274.81875
Global,2012,35006.267581,14922.759403,11541.707139,6500.593776,1384.570572,380.351189,276.285502
Global,2013,35319.201624,15024.486027,11626.445964,6542.527061,1444.086043,387.535385,294.121144
Global,2014,35577.534774,15051.51277,11678.782147,6654.555376,1499.912273,387.901908,304.870299
Global,2015,35558.565735,14710.087469,11929.665762,6788.073864,1444.435868,383.533695,302.769077
Global,2016,35524.193212,14360.605245,12023.83328,6973.648992,1487.616801,378.385157,300.103737
Global,2017,36096.739276,14506.973805,12242.627935,7144.928128,1507.923185,391.992176,302.294047
Global,2018,36826.5066,14746.830688,12266.016285,7529.846784,1569.218392,412.115746,302.478706
Global,2019,37082.558969,14725.978025,12345.653374,7647.52822,1617.506786,439.253991,306.638573
Global,2020,35264.085734,14174.56401,11191.808551,7556.290283,1637.537532,407.583673,296.301685
Global,2021,37123.850352,14979.598083,11837.159116,7921.829472,1672.592372,416.525563,296.145746
