Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,28.79,27.84,26.68,27.05,26.84,26.52,26.77,28.55,29.17,27.24,22.75,20.66,17.26,16.87,16.35,15.44,15.65,15.01,12.37,11.5,13.28,12.4,11.58,10.61,9.58,9.15,9.11,9.03,9.81,9.58
Albania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.77,9.22,9.42,8.85,8.38,8.52,8.09,8.04,8.49,7.78,7.52,7.48,7.75,7.73,7.83,8.05,7.97,7.63,7.0,8.4,8.02,6.81,6.58,7.29,7.58,7.74,6.92,6.95,8.96,11.3
Algeria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,282.23,278.23,269.38,265.6,262.52,252.91,239.46,234.99,215.21,207.48,204.28,202.05,196.61,193.51,185.65,178.19,175.3,162.66,156.9,163.6,154.61,149.15,146.88,146.97,143.9,136.96,135.01,126.53,125.57,121.4
Andorra,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.63,0.62,0.59,0.59,0.58,0.57,0.59,0.6,0.6,0.63,0.62,0.64,0.64,0.64,0.66,0.64,0.61,0.6,0.59,0.59,0.57,0.54,0.51,0.49,0.46,0.44,0.44,0.43,0.43,0.43
Angola,Climate Watch,Total including LUCF,All GHG,MtCO₂e,128.29,120.1,131.15,133.52,135.83,129.91,128.1,125.68,126.65,126.96,122.45,119.98,117.2,112.77,114.87,114.61,111.59,105.16,101.52,81.34,87.51,89.91,80.52,81.52,76.32,73.16,70.27,67.29,66.59,66.16
Antigua and Barbuda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1.22,1.19,1.15,1.12,1.09,1.06,1.05,1.26,1.09,1.03,1.92,0.96,0.91,0.85,0.78,0.75,0.74,0.7,0.64,0.6,0.58,0.56,0.51,0.48,0.45,0.43,0.42,0.45,0.37,0.35
Argentina,Climate Watch,Total including LUCF,All GHG,MtCO₂e,398.91,404.95,407.58,403.23,435.81,428.81,431.0,421.2,416.09,434.83,429.32,449.64,445.1,432.56,418.09,414.15,397.87,375.63,379.26,337.38,337.78,330.05,324.7,319.3,308.14,305.55,302.16,301.59,297.07,292.65
Armenia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,10.0,9.48,9.29,9.45,9.08,9.05,9.06,9.12,8.13,7.69,7.87,9.01,8.49,7.84,7.44,6.72,6.32,5.9,6.23,6.12,5.75,6.25,6.32,5.71,6.77,6.16,8.72,14.95,25.14,24.54
Australia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,608.49,621.28,626.56,578.39,568.87,569.98,554.25,639.63,639.95,596.36,626.33,608.78,637.94,638.32,590.44,627.56,576.25,652.95,656.39,650.73,632.75,593.84,566.85,557.47,557.98,550.17,544.2,542.04,541.38,541.39
Austria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,69.8,68.32,71.53,69.6,69.27,68.08,71.8,71.26,74.46,77.34,71.55,78.46,78.89,81.93,84.19,84.11,83.28,78.17,76.84,65.18,65.0,66.81,66.81,67.86,64.08,61.6,61.53,61.6,67.42,63.14
